Export;EXP-2024-001 (2024-08-26T08:19:22+01:00);;;StationsCode;NL10107;NL10131;NL10133;NL10136;NL10138;NL10230;NL10235;NL10236;NL10237;NL10240;NL10241;NL10246;NL10247;NL10248;NL10301;NL10318;NL10404;NL10418;NL10437;NL10442;NL10444;NL10445;NL10446;NL10449;NL10450;NL10538;NL10550;NL10617;NL10633;NL10636;NL10639;NL10641;NL10643;NL10644;NL10722;NL10738;NL10741;NL10742;NL10807;NL10818;NL10918;NL10929;NL10934;NL10937;NL10938
NOx;uur;µg NO2/m³;2024-06-02T19:00:00+01:00;2024-06-02T20:00:00+01:00;4.35;2.97;2.09;13.32;2.61;4.34;2.25;11.73;14.74;4.84;2.73;;3.46;1.66;1.43;4.57;3.95;3.17;1.65;3.07;1.33;17.01;3.25;9.18;5.6;2.38;5.87;1.41;2.7;3.25;10.14;35.47;3.64;3.86;3.05;2.11;19.41;6.37;2.02;1.98;0.96;1.32;1.7;11.37;0.64
NOx;uur;µg NO2/m³;2024-06-02T20:00:00+01:00;2024-06-02T21:00:00+01:00;3.85;3.36;2.67;27.45;5.79;4.41;2.97;9.64;14.6;7.48;3.16;;4.62;6.36;1.62;1.69;4.93;3.91;2.26;3.43;0.69;12.58;3.98;8.96;7.54;18.76;3.79;1.73;2.77;2.87;11.96;23.58;3.34;3.26;4.42;1.57;32.41;5.6;1.78;1.96;3.56;1.33;0.84;11.41;0.68
NOx;uur;µg NO2/m³;2024-06-02T21:00:00+01:00;2024-06-02T22:00:00+01:00;4.51;3.69;2.66;30.02;20.09;4.27;2.67;11.38;13.81;8.96;3.87;;4.57;1.7;2.09;0.44;2.71;3.17;1.6;2.97;0.49;14.43;3.09;11.31;8.7;2.67;4.46;1.78;3.56;2.66;9.75;11.97;3.18;3.36;3.29;1.63;33.3;6.25;1.62;1.75;1.63;1.97;1.8;6.54;0.69
NOx;uur;µg NO2/m³;2024-06-02T22:00:00+01:00;2024-06-02T23:00:00+01:00;4.91;5.02;2.66;16.6;9.88;3.47;2.17;5.67;11.22;10.04;3.96;;3.38;7.53;1.5;1.5;3.35;2.79;2.77;3.67;0.05;20.83;4.26;12.61;7.78;2.98;6.9;1.32;3.11;2.72;6.33;9.36;2.88;3.35;2.46;1.92;23.1;4.01;1.54;2.21;1;2.01;1.35;7.81;0.36
NOx;uur;µg NO2/m³;2024-06-02T23:00:00+01:00;2024-06-03T00:00:00+01:00;4.71;3.19;2.92;10.42;3.18;4.22;2.58;4.31;5.69;8.33;3.88;;2.89;11.45;5.75;2.35;5.15;4.65;3.12;3.7;0.43;13.3;20.53;20.04;13.02;3.23;3.02;1.34;3.35;3.42;5.36;14.92;2.96;3.05;2.38;1.43;8.14;4.23;2.11;1.68;0.88;1.67;1.14;3.06;0.68
NOx;uur;µg NO2/m³;2024-06-03T00:00:00+01:00;2024-06-03T01:00:00+01:00;3.34;2.62;2.86;9.97;5.77;3.33;3.92;3.48;4.23;7.61;3.67;;5.68;11.31;2.87;4.43;7.08;11.48;8.43;6.41;1.02;9.63;35.76;27.1;8.66;3.58;12.2;1.62;3.74;5.19;6.32;15.49;3.74;2.98;1.63;2.21;14.47;5.55;1.96;1.36;2.84;2.33;1.73;2.36;1.13
NOx;uur;µg NO2/m³;2024-06-03T01:00:00+01:00;2024-06-03T02:00:00+01:00;3.03;2.1;2.24;8.48;6.31;2.66;3.23;2.9;3.45;12.6;4.19;;4.78;5.15;2.94;5.11;4.86;10.05;6.17;11.8;0.57;23.32;25;21.6;8.08;3.02;10.51;0.56;6.24;5.97;6.14;17.9;4.67;4.31;1.1;1.74;7.5;4.17;1.48;1.16;2.61;2.57;1.14;1.78;1.22
NOx;uur;µg NO2/m³;2024-06-03T02:00:00+01:00;2024-06-03T03:00:00+01:00;3.45;1.74;1.93;12.68;4.8;2.55;4.05;2.24;2.74;18.26;6.89;;2.8;1.74;2.9;4.64;3.24;7.09;8.82;10.59;0.87;8.88;16.48;19.86;7.79;2.81;9.26;0.51;4.37;8.7;10.63;15.74;7.38;3.53;1.27;1.93;6.46;5.28;0.7;1.12;2.96;2.55;1.16;1.27;0.93
NOx;uur;µg NO2/m³;2024-06-03T03:00:00+01:00;2024-06-03T04:00:00+01:00;4.92;2.94;1.9;10.76;3.83;3.34;3.77;3;5.53;11.05;12.31;;3.16;3.13;2.44;3.63;2.61;9.04;14.04;11.95;0.56;8.97;15.08;27.33;4.62;3.28;4.55;0.73;4.19;8.17;13.45;21.04;7.29;3.46;0.7;1.43;8.24;4.92;0.75;1.21;2.44;2.4;1.24;2.52;1.04
NOx;uur;µg NO2/m³;2024-06-03T04:00:00+01:00;2024-06-03T05:00:00+01:00;5.32;5.18;2.9;19.55;4.53;6.3;3.98;5.23;8.06;16.54;11.26;;3.55;4.75;2.92;3.17;4.54;12.11;16.58;15.51;0.28;11.68;29.42;112.98;7.76;3.47;4.32;0.62;4.25;10.72;15.4;41.41;5.59;4.65;2.1;3.25;15.01;8.48;0.84;1.64;2.25;2.08;0.95;3.56;1.21
NOx;uur;µg NO2/m³;2024-06-03T05:00:00+01:00;2024-06-03T06:00:00+01:00;14.57;5.06;4.88;39.54;8.25;9.71;7.45;11.88;20.56;67.94;17.76;;5.18;11.22;3.96;5.08;5.97;21.38;20.23;23.97;0.7;23.62;54.59;101.55;12.42;4.57;18.22;2.51;5.45;21.26;41.93;65.77;12.63;5.13;1.79;4.91;23.6;11.62;0.85;2.83;1.95;2.23;1.16;9.16;1.74
NOx;uur;µg NO2/m³;2024-06-03T06:00:00+01:00;2024-06-03T07:00:00+01:00;18.4;5.58;5.88;50.53;12.03;7.32;12.09;17;29.27;60.27;27.89;;7.87;8.42;4.55;6.16;8.41;24.3;20.87;38.76;;36.1;28.6;72.81;9.06;6.95;16.58;2.19;4.61;50.39;47.15;53.59;27.32;7.43;2.11;9.31;63.42;17.82;9.34;3;2.29;3.07;3.42;11.54;5.35
NOx;uur;µg NO2/m³;2024-06-03T07:00:00+01:00;2024-06-03T08:00:00+01:00;14.22;7.79;6.69;41.62;14.57;5.87;10.36;14.37;33;37.23;12.21;;5.03;5.82;6.12;7.74;8.4;17.17;13.06;35.24;;32.68;15.33;47.14;15.18;4.75;22.36;1.76;5.19;41.83;42.02;44.13;16.29;8.32;1.98;9.06;58.82;15.82;3.95;4.21;3.27;3.27;1.2;21.68;6.44
NOx;uur;µg NO2/m³;2024-06-03T08:00:00+01:00;2024-06-03T09:00:00+01:00;12.91;3.77;7.59;40.69;12.52;6.45;5.93;13.71;25.15;14.73;4.66;;3.79;4.39;6.62;8.69;6.37;16.89;12.08;11.92;0.66;34.29;9.79;28.1;23;6.02;13.49;1.48;3.27;15.05;27.2;180.7;7.89;4.5;1.69;4.75;52.76;10.71;2.95;2.59;2.6;3.01;1.44;12.58;3.19
NOx;uur;µg NO2/m³;2024-06-03T09:00:00+01:00;2024-06-03T10:00:00+01:00;8.98;3.31;5.96;25.76;6.43;8.39;5.19;18.23;24.08;22.47;6.67;;3.82;2.56;8.6;7.45;3.26;26.64;14.02;8.39;0.55;27.33;6.4;31.52;21.44;6.41;11.61;0.33;2.16;15.2;17.65;30.04;6.65;3.3;1.71;4.22;26.63;7.41;7.31;1.89;2.98;2.75;1.57;14.17;4.08
NOx;uur;µg NO2/m³;2024-06-03T10:00:00+01:00;2024-06-03T11:00:00+01:00;8.11;2.97;4.64;30.71;5.06;9.83;5.27;16.19;20.52;14.64;10.38;;4.17;3.55;6.15;4.1;10.11;22.05;13.34;20.14;1.09;22.75;7.67;38.18;18.85;6.18;14.5;0.23;2.82;12.83;19.33;28.52;4.51;2.61;2.77;4.73;31;8.02;4.78;1.64;3.19;2.53;1.62;13.25;3.1
NOx;uur;µg NO2/m³;2024-06-03T11:00:00+01:00;2024-06-03T12:00:00+01:00;6.72;2.14;2.61;18.56;6.61;7.4;3.56;15.2;26.36;39.44;11.28;;5.14;3.9;3.36;4.69;6.74;29.23;7.22;19.28;2.54;21.97;10.37;33.38;14.59;14.22;15.19;0.42;2.17;12.87;18.43;30.26;4.59;4.99;2.94;4.2;41.29;7.11;4.44;1.56;2.31;2.56;1.45;12.71;2.28
NOx;uur;µg NO2/m³;2024-06-03T12:00:00+01:00;2024-06-03T13:00:00+01:00;4.53;6.73;2.91;20.83;6.54;4.85;3.17;14.63;20.58;32.91;16.29;4.26;5.23;3.83;6.1;6.06;9.02;19.83;1.8;20.75;3.77;25.1;8.55;23.86;21.16;7.42;16.73;0.47;1.85;10.6;12.94;236.76;3.62;4.49;2.45;4.51;36.4;6.94;7.19;1.83;2.35;5.35;2.31;11;2.53
NOx;uur;µg NO2/m³;2024-06-03T13:00:00+01:00;2024-06-03T14:00:00+01:00;4.76;4.09;1.98;20.07;5.86;6.8;4.02;19.01;30.43;38.06;13.69;3.64;4.39;2.94;14.04;5.54;11.3;20.53;0.84;21.42;4.9;30.11;10.53;20.37;20.32;10.28;19.62;6.8;2.77;9.56;11.72;38.47;3.85;4.95;2.64;5.22;46.85;8.23;5.27;2.14;2.13;1.86;2.89;9.09;2.62
NOx;uur;µg NO2/m³;2024-06-03T14:00:00+01:00;2024-06-03T15:00:00+01:00;4.86;4.09;3.74;22.88;4.53;7.58;4.69;17;29.13;25.29;10.38;2.01;4.8;3.14;6.67;16.92;10.54;19.8;0.54;19.78;7.17;28.48;12.71;25.77;25.75;15.53;25.69;4.74;3.67;10.75;13.89;31.28;2.73;7;2.67;5.17;32.88;8.42;4.36;1.9;2.83;2.42;3.1;10.63;4.19
NOx;uur;µg NO2/m³;2024-06-03T15:00:00+01:00;2024-06-03T16:00:00+01:00;6.19;3.04;4.39;27.68;3.64;10.23;4.62;20.61;42.6;27.35;8.61;2.13;4.92;3.87;6.42;7.69;17.71;18.06;2.73;21.7;7.65;32.35;14.32;33.67;20.45;8.13;32.52;3.71;5.91;13.8;10.57;31.53;3.5;7.71;2.7;6.69;43.16;9.09;2.44;2.15;3.17;3.07;3.31;16.64;4.52
NOx;uur;µg NO2/m³;2024-06-03T16:00:00+01:00;2024-06-03T17:00:00+01:00;5.97;3.31;4.98;29.52;3.54;9.52;4.4;20.05;45.25;17.62;12.5;7.21;6.62;5.32;5.69;6.99;15.05;17.62;8.08;25.77;13.99;31.84;15.07;47.09;29.14;5.16;32.24;3.42;3.23;16.23;15.43;29.19;3.9;7.25;2.94;8.3;32.67;8.55;2.44;2.44;3.79;2.92;4.33;18.62;5.61
NOx;uur;µg NO2/m³;2024-06-03T17:00:00+01:00;2024-06-03T18:00:00+01:00;7.44;4.14;4.76;23.92;4.03;8.7;3.4;24.15;23.33;16.53;9.91;10.22;10.06;6.19;5.72;4.63;15.63;15.19;6.36;25.19;4.98;32.87;19.66;41.22;42.22;5.1;18.96;3.72;3.65;12.84;18.11;26.63;4.04;8.44;2.23;6.27;26.58;10.26;6.74;2.81;4.85;3.36;2.93;25.55;7.05
NOx;uur;µg NO2/m³;2024-06-03T18:00:00+01:00;2024-06-03T19:00:00+01:00;12.77;6.33;4.51;25.73;3.94;9.92;3.65;24.7;25.25;24.1;11.17;12.41;10.66;6.38;3.94;3.75;21.72;15.78;4.42;34.56;7.1;43.67;22.66;58.36;58.56;6.93;17.26;5.04;5.21;10.88;15.4;33.38;3.01;8.82;3.81;6.3;29.01;9.31;8.96;3.55;3.74;3.49;3.63;11.16;7.38
NOx;uur;µg NO2/m³;2024-06-03T19:00:00+01:00;2024-06-03T20:00:00+01:00;8;7.22;4.11;17.88;4.77;7.57;6;30.63;26.02;30.51;12.38;12.18;9.67;7.21;4.05;5.06;18.56;22.61;6.63;43.24;11.09;31.18;19.78;76.41;18;3.86;14.37;8.74;7.6;14.94;19.19;32.02;4.1;11.3;4.5;6.67;31.4;12.07;10.74;4.39;4.41;3.92;3.57;12.42;9.53
NOx;uur;µg NO2/m³;2024-06-03T20:00:00+01:00;2024-06-03T21:00:00+01:00;6.32;7.18;4.03;31.96;9.29;10.52;4.92;34.38;31.74;37.28;16.57;23.84;9.94;10.13;3.65;8.46;26.01;48.89;7.46;25.69;9.21;40.94;15.22;66.76;17.86;4.27;24.25;9.45;5.59;16.15;19.7;28.23;7.06;9.87;4.8;7.14;29.07;11.55;5.19;6.38;3.94;4.79;3.53;11.62;7.87
NOx;uur;µg NO2/m³;2024-06-03T21:00:00+01:00;2024-06-03T22:00:00+01:00;6.01;8.85;4.21;53.99;12.67;10.94;5.37;26.93;31.42;35.3;19.58;28.16;11.15;11.22;2.91;8.65;58.06;39.9;7.53;30.14;5.23;56.81;19.54;56.15;35.42;4.11;21.68;11.29;7.07;16.08;19.31;35.12;9.91;9.41;5.71;5.14;34.34;13.52;6.81;3.1;4.64;5.94;5.12;12.44;8.37
NOx;uur;µg NO2/m³;2024-06-03T22:00:00+01:00;2024-06-03T23:00:00+01:00;6.06;11.76;5.46;24.46;13.62;8.42;5.69;22.7;34.06;31.89;24.7;12.38;13.95;11.23;4.5;19.28;27.34;27.56;4.89;21.71;6.95;42.27;22.08;57.59;45.2;4.98;12.87;12.97;7.11;15.81;21.82;30.71;10.59;5.71;5.02;4.76;31.3;14.08;7.78;3.57;4.15;5.75;5.8;11.92;5.97
NOx;uur;µg NO2/m³;2024-06-03T23:00:00+01:00;2024-06-04T00:00:00+01:00;6.33;12.17;5.84;23.43;11.07;12.38;6.35;22.69;47.32;34.03;21.19;8.66;11.42;12.08;4.44;15.19;16.14;30.94;6.43;26.94;5.12;24.48;28.82;52.78;27.51;4.82;10.2;7.77;5.76;11.96;19.78;22.37;7.93;5.33;5.49;5.62;29.75;16.07;8.73;4.33;3.4;6.95;3.78;9.79;5.33
NOx;uur;µg NO2/m³;2024-06-04T00:00:00+01:00;2024-06-04T01:00:00+01:00;5.87;12.73;5.18;11.38;8.5;32.44;5.84;25.17;29.79;35.31;26.61;10.94;25.76;;;7.89;64.8;106.8;7.87;22.75;4.96;48.97;28.48;37.99;56.52;32.24;10.59;12.85;8.39;16.46;17.46;22.39;15.1;8.95;6.79;8.73;15.39;12.55;9.4;4.02;2.18;7.73;4.1;7.23;4.87
NOx;uur;µg NO2/m³;2024-06-04T01:00:00+01:00;2024-06-04T02:00:00+01:00;5.96;13.36;5.72;8.36;7.2;8.06;5.06;18.98;26.66;23.17;22.71;7.73;13.89;15.81;;11.34;45.09;72.57;7.76;25.91;5.43;48.14;37.16;47.76;41.7;7.53;9.31;7.27;7.56;13.2;11.69;20.21;11.45;10.56;6.45;8.16;12.19;11.42;8.09;3.98;2.84;7.86;3.71;9.42;3.64
NOx;uur;µg NO2/m³;2024-06-04T02:00:00+01:00;2024-06-04T03:00:00+01:00;6.67;13.2;5.87;10.89;6.33;18.71;5.02;17.52;17.15;21.6;15.65;7.45;9.67;14.87;;10.95;50.13;66.95;7.52;19.04;5.1;45.19;36.51;39.98;47.46;14.77;22.63;7.49;9.73;13.62;13.84;22.61;13.06;10.17;6.86;10.04;12.99;12.82;7.05;4.78;2;7.31;3.64;4.9;3.27
NOx;uur;µg NO2/m³;2024-06-04T03:00:00+01:00;2024-06-04T04:00:00+01:00;9.87;16.14;5.68;9.32;6.1;26.26;5.07;13.08;13.55;25.11;21.13;10.04;9.77;23.85;;9.11;51.26;44.46;8.75;23.6;9.45;54.86;46.65;42.35;64.05;8.77;8.08;7.43;9.52;13.9;19.9;20.5;11.97;10.63;7.65;9.73;19.94;18.16;7.28;4.33;3.69;8.98;3.52;4.93;3.34
NOx;uur;µg NO2/m³;2024-06-04T04:00:00+01:00;2024-06-04T05:00:00+01:00;10.68;21.19;5.92;16.68;6.26;17.3;18.68;13.39;19.63;43.41;19.97;10.31;13.07;12.96;;9.17;52.03;34.51;15.86;10.92;16.1;50.61;37.6;39.23;97.53;19.38;15.68;10.49;11.02;18.23;37.79;16.29;15.05;18.25;7.12;10.92;25.45;24.4;7.95;6.15;3.08;6.47;3.32;12.57;3.66
NOx;uur;µg NO2/m³;2024-06-04T05:00:00+01:00;2024-06-04T06:00:00+01:00;10.56;22.6;8.87;29.52;6.9;15.76;26.69;17.95;38.13;88.94;21.77;24.05;16.56;10.87;;11;47.91;18.36;16.91;14.09;19.51;35.96;36.96;50.2;118.97;17.59;32.75;12.6;24.48;45.66;84.01;32.57;31.31;32.3;8.09;12.23;30.53;20.89;10.3;9.34;3.19;6.2;5.51;24.35;4.53
NOx;uur;µg NO2/m³;2024-06-04T06:00:00+01:00;2024-06-04T07:00:00+01:00;9.93;26.43;9.59;64.42;8.44;14.09;33.08;20.74;46.91;105.59;27.6;30;23.79;13.57;;15.04;57.35;38.27;34.45;27.75;31.03;53.48;48.74;79.45;105.87;24.67;57.36;11.23;19.75;76.1;92.32;61.76;48.73;21.19;10.22;20.52;44.67;20.82;10.28;10.3;2.36;7.33;4.37;37.64;5.78
NOx;uur;µg NO2/m³;2024-06-04T07:00:00+01:00;2024-06-04T08:00:00+01:00;8.82;19.82;7.89;44.73;8.54;22.04;43.51;27.35;68.15;106.04;29.86;38.61;21.07;17.03;;15.01;48.49;44.8;24.83;38.43;35.74;62.7;36.17;61.77;124.45;23.36;62.24;12.95;23.44;55.5;64.93;49.05;34.82;21.76;9.95;23.98;40.14;24.93;;11.91;9.66;8.97;6.06;30.35;6.24
NOx;uur;µg NO2/m³;2024-06-04T08:00:00+01:00;2024-06-04T09:00:00+01:00;9.24;15.59;6.91;18.37;5.35;16.12;44.55;21.24;35.9;71.12;24.81;26.66;15.49;11.79;;12.45;33.9;43.02;18.4;35.12;27.55;47.23;26.98;44.89;85.06;38.53;49.75;15.41;24.06;49.53;54.1;44.71;30.93;23.6;11.4;13.11;30.4;18.86;;10.51;7.91;8.64;3.91;35.86;5.55
NOx;uur;µg NO2/m³;2024-06-04T09:00:00+01:00;2024-06-04T10:00:00+01:00;5.87;11.48;6.78;19.81;5.15;12.42;38.46;16.97;30.92;60.38;21.54;16.58;14.35;5.67;;10.59;24.03;28.68;16.18;38.33;25.08;36.78;17.55;45.61;70.76;27.49;35.29;14.13;22.09;32.64;38.43;44.24;19.79;23.02;10.34;13.38;23.92;13.69;;12.79;15.7;6.35;5.45;23.1;2.78
NOx;uur;µg NO2/m³;2024-06-04T10:00:00+01:00;2024-06-04T11:00:00+01:00;4.92;9.34;4.6;18.27;6.45;8.21;16.46;12.7;19.33;44.19;14.22;15.22;7.57;3.8;;6.03;22.72;28.18;15.17;24.94;18.78;25.99;20.81;46.82;57.73;23.2;35.08;;15.95;23.9;30.22;32.83;13.94;22.39;9.94;9.37;18.83;13.88;;14.03;11.65;7.8;3.42;34.61;3.03
NOx;uur;µg NO2/m³;2024-06-04T11:00:00+01:00;2024-06-04T12:00:00+01:00;3.68;5.94;6.82;17.95;6.06;5.37;11.1;9.3;15.56;35.44;7.8;10.13;5.87;1.9;;3.81;16.28;18.74;9.69;21.87;13.31;22.63;29.11;30.56;52.61;14.7;22.86;;12.07;36.24;35.22;32.09;16.33;14.22;7.3;6.77;19.5;8.2;;8.35;15.71;8.34;5.28;27.2;4.71
NOx;uur;µg NO2/m³;2024-06-04T12:00:00+01:00;2024-06-04T13:00:00+01:00;5.85;3.68;4.68;25.68;5.05;4.07;9.25;9.73;16.29;38.18;7.63;4.45;5.42;0.66;;3.02;16.33;14.4;8.47;15.56;13.98;24.12;12.02;28.04;63.77;21.55;21.26;5.93;8.02;26.3;24.96;29.21;11.28;13.28;4.94;6.25;12.13;6.74;;;13.8;6.6;6.08;29.76;5.93
NOx;uur;µg NO2/m³;2024-06-04T13:00:00+01:00;2024-06-04T14:00:00+01:00;6.9;3.11;3.76;15.37;3.86;3.29;9.22;7.26;17.32;40.32;7.36;5.6;4.65;0.6;;2.15;11.41;18.81;4.4;10.08;9.53;18.48;11.81;23.15;68.82;7.61;21.38;6.73;4.99;21.29;28.67;24.73;7.37;8.83;3.9;6.84;14.9;7.13;;;12.81;5.87;5.59;30.32;5.94
NOx;uur;µg NO2/m³;2024-06-04T14:00:00+01:00;2024-06-04T15:00:00+01:00;3.19;3.14;3.53;20.22;2.78;4.58;7.26;8.18;21.24;46.14;8.35;5.84;6.23;0.65;;2.58;10.59;9.64;2.48;9.18;7.69;14.83;11.72;13.07;61.67;11.53;28.67;4.35;6.59;22.21;25.45;32.34;5.77;5.94;3.83;3.87;16.05;7.1;;7.48;7.21;4.9;8.73;35.57;4.73
NOx;uur;µg NO2/m³;2024-06-04T15:00:00+01:00;2024-06-04T16:00:00+01:00;3.38;4.08;5.84;17.26;3.13;4.61;5.08;9.62;22.88;46.33;7.42;6.26;6.47;1.45;;2.98;12.12;7.09;2.24;8.48;9.55;16.98;10.62;15.21;54.48;11.81;31.2;2.93;6.45;23.33;22.93;28.38;5.15;4.48;4.29;3.5;13.19;5.93;;4.43;6.77;4.92;11.21;35.9;7.22
NOx;uur;µg NO2/m³;2024-06-04T16:00:00+01:00;2024-06-04T17:00:00+01:00;4.56;3.57;7.94;18.7;4.69;4.25;5.73;8.24;21.92;44.22;7.46;4.18;5.19;0.81;;6.53;18.15;9.47;3.26;7.57;8.26;30.28;18.1;13.01;41.41;33.51;29.31;2.13;5.72;19.21;23.7;27.66;4.86;4.56;3.72;3.15;14.29;8.49;;3.74;5.67;4.52;7.1;28.52;5.41
NOx;uur;µg NO2/m³;2024-06-04T17:00:00+01:00;2024-06-04T18:00:00+01:00;6.17;3.91;6.68;17.11;5.25;6.53;11.74;8.24;14.18;37.24;7.07;5.88;5.48;1.79;;4.28;10.97;20.02;2.69;9.75;12.07;32.41;17.9;13.61;38.49;36.86;34.86;1.76;8.8;18.27;26.22;33.41;4.74;6.42;3.73;3.23;11.91;8.07;;3.75;5.73;4.05;7.56;29.69;6.01
NOx;uur;µg NO2/m³;2024-06-04T18:00:00+01:00;2024-06-04T19:00:00+01:00;5.86;3.78;5.97;12.85;3.92;11.35;17.84;7.99;13.59;30.88;10.31;7.61;5.52;2.2;;2.58;14.68;16.84;3.42;10.21;5.68;30.37;14.98;25.33;40.55;30.44;16.76;2.31;9.97;18.07;19.78;37.55;9.38;9.73;4.14;4.12;17.69;8.08;;4.26;5.26;3.73;8.99;25.05;4.56
NOx;uur;µg NO2/m³;2024-06-04T19:00:00+01:00;2024-06-04T20:00:00+01:00;6.1;4.29;6.52;14.15;4.81;9.56;19.04;9.32;16.43;43.73;14.21;7.01;7.02;3.55;;2.48;14.86;14.33;6.24;12.33;6.24;28.62;17.27;21.56;33.45;22.1;12.28;4.72;7.94;20.88;24.19;31.81;8.35;9.92;5.34;4.93;16.33;15.02;;5.14;3.82;5.25;6.56;18.8;5.95
NOx;uur;µg NO2/m³;2024-06-04T20:00:00+01:00;2024-06-04T21:00:00+01:00;6.61;6.47;6.87;10.92;6.82;19.75;10.31;14.5;18.25;36.62;16.66;10.59;7.32;5.52;;2.61;14.11;9.37;4.78;16.62;10.23;24.15;14.5;21.38;29.56;33.91;14.71;3.1;7.44;23.32;38.05;31.83;11.91;11.62;6.19;8.14;19.36;11.82;;4.52;3.96;5.94;5.24;19;7.32
NOx;uur;µg NO2/m³;2024-06-04T21:00:00+01:00;2024-06-04T22:00:00+01:00;5.33;8.75;4.17;8.7;5.66;16.7;4.51;10.47;17.54;17.16;10.65;5;8.05;9.04;;2.45;11.9;7.68;4.9;10.45;7.58;20.27;10.66;19.24;25.91;15.26;10.36;3.69;8.37;19.1;25.97;16.66;10.49;9.32;7.31;8.93;26.78;15.68;;4.9;3.69;7;3.62;18.74;5.07
NOx;uur;µg NO2/m³;2024-06-04T22:00:00+01:00;2024-06-04T23:00:00+01:00;5.83;6.15;4.26;5.27;4.02;6.28;6.06;5.4;8.47;12.42;6.62;1.95;4.15;9.23;;3.24;13.45;7.19;4.34;6.06;7.99;18.8;12.3;18.32;22.24;7.3;10.99;3.51;7.79;11.2;11.45;16.48;7.09;5.17;8.66;8.8;18.16;14.52;;4.77;2.91;4.89;3.82;11.66;3.67
NOx;uur;µg NO2/m³;2024-06-04T23:00:00+01:00;2024-06-05T00:00:00+01:00;6.55;4.87;3.68;5.58;4.03;7.74;4.88;4.99;4.81;6.91;5.05;3.15;2.74;2.3;;4.28;13.46;7.18;3.71;7.61;10.81;16.95;10.14;15.42;16.11;10.85;10.91;2.56;7.06;9.34;7.16;13.66;7.53;6.29;9.59;6.47;14.42;11.62;;5.09;3.46;4.54;3.3;8.53;3.67
NOx;uur;µg NO2/m³;2024-06-05T00:00:00+01:00;2024-06-05T01:00:00+01:00;3.89;4.93;3.09;5.76;4.66;7.49;9.52;6.05;5.24;9.16;7.18;7.18;2.94;5.35;;5.69;2.3;14.4;7.92;7.23;1.96;3.8;4.73;10.55;3.26;1.37;2.44;;4.03;7.63;9.07;6.93;7.44;7.39;10.72;4.77;7.85;5.93;;6.19;3.03;4.91;3.13;6.95;3.87
NOx;uur;µg NO2/m³;2024-06-05T01:00:00+01:00;2024-06-05T02:00:00+01:00;2.98;5.42;2.35;3.42;2.74;8.58;8.44;6.32;5.04;8.9;6.33;4.67;3.13;4.75;;4.97;1.99;3.32;5.7;7.19;1.54;3.81;3.26;3.63;1.72;0.95;1.14;1.37;1.15;2.52;4.07;5.93;2.73;2.62;7.12;4.59;6.41;5.67;;2.48;0.94;4.37;0.74;3.63;2.48
NOx;uur;µg NO2/m³;2024-06-05T02:00:00+01:00;2024-06-05T03:00:00+01:00;2.59;6.9;1.97;4.58;4.09;7.48;1.65;7.22;4.17;5.53;4.32;4.56;2.76;4.81;;3.09;2.06;3.02;4.04;1.71;1.71;4.19;4.56;9.38;2.26;2.46;3.82;-0.38;1.37;1.95;3.91;11.39;2.83;1.64;6.99;1.17;4.93;5.23;;1.27;1.17;1.77;0.41;1.19;0.75
NOx;uur;µg NO2/m³;2024-06-05T03:00:00+01:00;2024-06-05T04:00:00+01:00;2.75;6.15;2.35;6.67;5.36;1.88;2.17;5.79;4.71;6.6;2.26;3.93;3;6.58;;2.26;2.86;3.33;5.56;3.71;1.68;4.29;6.61;22.72;3.12;1.74;3.68;0.37;1.87;4.29;9.18;17.41;4.44;1.83;3.71;0.9;4.5;3.11;;1.39;1.08;0.52;0.47;2.17;0.89
NOx;uur;µg NO2/m³;2024-06-05T04:00:00+01:00;2024-06-05T05:00:00+01:00;2.94;2.61;2.4;9.37;7.32;1.61;2.71;5.13;6.62;17.96;4.01;5.5;1.13;4.78;;3.45;3.83;8.3;12.43;7.58;2.14;9.11;10.81;42.2;11.4;2.86;5.69;1.28;1.98;7.61;11.79;32.54;6.01;2.45;1.86;1.81;13.6;4.19;;2.25;1.76;0.69;0.96;8.87;2.07
NOx;uur;µg NO2/m³;2024-06-05T05:00:00+01:00;2024-06-05T06:00:00+01:00;6.45;2.83;2.86;9.92;3.78;3.55;3.81;15.13;20.77;68.42;14.67;6.51;2.36;4.9;;5.33;5.06;14.83;13.81;15.53;2.92;13.28;16.63;66.57;10.75;5.29;14.97;2.97;3.68;25.07;33.82;53.95;7.53;7.23;2.56;2.6;32.14;10.09;;3.89;2.14;1.55;1.71;16.61;4.75
NOx;uur;µg NO2/m³;2024-06-05T06:00:00+01:00;2024-06-05T07:00:00+01:00;10.71;4.39;5.09;18.32;5.47;3.54;6.94;21.85;29.52;79.52;17.64;6.27;4.91;6.17;;4.98;7.22;21.61;7.27;20.85;2.79;27.67;14.29;41.2;11.38;3.76;19.58;5.22;5.76;31.57;36.79;41.8;11.9;8.86;4.43;6.1;39.85;12.13;;3.78;2.18;1.77;1.9;16.37;7.33
NOx;uur;µg NO2/m³;2024-06-05T07:00:00+01:00;2024-06-05T08:00:00+01:00;12.71;5.47;7.75;32;6.2;3.92;4.48;17.62;28.77;49.62;8.84;3.25;5.55;5.1;;3.11;6.98;22.7;5.22;23.25;2.78;30.83;10.81;42.32;12.17;3.22;19.83;6.02;5.59;32.14;24.68;28.68;11.51;6.64;3.81;5.76;40.28;16;;;3;2.26;1.27;17.89;4.88
